  5a6h|A|2016-05-25|K|+3.1;
  5hwy|A|2016-05-22|K|+3.1;
  5fdi|A|2016-05-19|K|+3.1;
  5fdc|A|2016-05-19|K|+3.1;
  5apg|A|2016-04-27|K|+3.1;
  5ap8|A|2016-04-27|K|+3.1;
  5cfy|A|2016-04-20|S|+3.1;
  5dlw|A|2016-04-15|S|+3.1;
  5dlv|A|2016-04-15|S|+3.1;
  4yvy|A|2016-03-30|K|+3.1;
  5aj9|A|2016-03-20|S|+3.1;
  4yqt|A|2016-03-16|K|+3.1;
  4yqs|A|2016-03-16|K|+3.1;
  4yqr|A|2016-03-16|K|+3.1;
  4ypx|A|2016-03-16|K|+3.1;
  5hj3|C|2016-03-15|S|+3.1;
  5ehw|A|2016-03-13|K|+3.1;
  5eh8|A|2016-03-13|K|+3.1;
  5ehv|A|2016-03-13|K|+3.1;
  5egh|A|2016-03-12|S|+3.1;
  5eh5|A|2016-03-12|K|+3.1;
  5eh7|A|2016-03-12|K|+3.1;
  5ege|A|2016-03-12|S|+3.1;
  5a1i|A|2016-03-10|K|+3.1;
  5flo|A|2016-03-05|K|+3.1;
  5flp|A|2016-03-05|K|+3.1;
  5flq|A|2016-03-05|K|+3.1;
  5flr|A|2016-03-05|K|+3.1;
  5fls|A|2016-03-05|K|+3.1;
  5flt|A|2016-03-05|K|+3.1;
  5fni|A|2016-03-05|K|+3.1;
  5fng|A|2016-03-05|K|+3.1;
  5fnh|A|2016-03-05|K|+3.1;
  5fnj|A|2016-03-05|K|+3.1;
  5fnk|A|2016-03-05|K|+3.1;
  5fnm|A|2016-03-05|K|+3.1;
  4z1w|A|2016-01-22|K|4.1, 4.1;
  4zrr|A|2016-01-22|K|4.1, 4.1;
  4x3l|A|2016-01-22|K|+3.1;
  5e28|A|2016-01-22|K|+3.1;
  5e2k|A|2016-01-22|K|+3.1;
  5e2s|A|2016-01-22|K|+3.1;
  5f1b|A|2016-01-21|S|+3.1;
  5fai|A|2016-01-21|K|+3.1;
  5c77|A|2016-01-14|K|+3.1;
  5c74|A|2016-01-14|K|+3.1;
  5a7y|A|2016-01-13|K|+3.1;
  5a7z|A|2016-01-13|K|+3.1;
  5a7t|A|2016-01-13|K|+3.1;
  5ekj|A|2016-01-07|K|+3.1;
  5ekh|A|2016-01-07|K|+3.1;
  5ekm|A|2016-01-07|K|+3.1;
